Name,Email Address,Q1,Q2,Q3,Q4,Risk Aversion Score
,,1,0,0,0,1
Gavin,nspgav@gmail.com,4,0,0,4,8
Ted,e@c.co,4,2,2,3,11
lll,test@A.com,2,2,3,2,9
ds,f@a.co,3,0,2,2,7
trgfr,4@w.com,2,2,3,3,10
aaa,f@g.com,1,0,0,0,1
dd,,4,3,1,3,11
fdfd,,5,2,2,2,11
test,,5,3,3,4,15
JY,,3,0,2,2,7
hayley,,3,3,3,1,10
JiaYang,,3,0,0,0,3
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
,,0,NA,NA,NA,0
